date,return,ic,decile_spread,turnover,n_holdings,holdings_missing_return
2022-03-01,0.0275982728275729,-0.020508962611520354,0.005577886174688254,0.05187319884726225,347,0
2022-04-01,-0.07057637790503851,0.07327860871885357,0.03608267254985517,0.05763688760806916,347,0
2022-05-01,0.028075589165247307,0.06278605443452562,0.03799529832962091,0.06340057636887608,347,0
2022-06-01,-0.10558269292822786,-0.03155314583545056,-0.0037612471143300547,0.040345821325648415,347,0
2022-07-01,0.08604022527382532,-0.012957353264968743,-0.004613167798351761,0.8448180474472143,349,0
2022-08-01,-0.03605241101394296,-0.015937090853104886,-0.004496334266043851,0.06876790830945559,349,0
2022-09-01,-0.09890652959954792,-0.08685656459421488,-0.02542650145016273,0.045845272206303724,349,0
2022-10-01,0.13742113458277208,0.16696701804451625,0.0715431422682873,0.04011461318051576,349,0
2022-11-01,0.04888240227988061,0.002871698823192732,0.0008394519880102064,0.06008186655751126,350,0
2022-12-01,-0.050496298244903856,0.02315973148872759,0.002599073129358191,0.03428571428571429,350,0
2023-01-01,0.09783422855418557,0.09155702276038737,0.03670728524738713,0.042792022792022794,351,0
2023-02-01,-0.024806171162756487,0.053169034753857265,0.003921427645797164,0.042792022792022794,350,0
2023-03-01,-0.055416458001656545,-0.16236747788428174,-0.045086306454344215,0.03137973137973138,351,0
2023-04-01,-0.020902978574090774,-0.09934712437157152,-0.012551165297313628,0.07977207977207977,351,0
2023-05-01,-0.03470180788325205,-0.03129981895876859,0.014417274264802295,0.06837606837606838,351,0
2023-06-01,0.08731260578327081,0.015043380042266671,0.0076289450317425095,0.03418803418803419,351,0
2023-07-01,0.055034050802469724,0.11014735929744202,0.025742873166896572,1.0214412024756852,348,0
2023-08-01,-0.03784223045069628,-0.037865383669048416,-0.02058327741484605,0.048916824008744905,347,0
2023-09-01,-0.06003000506590603,0.05174192812654117,0.014963506432096485,0.03740600881115638,348,0
2023-10-01,-0.06149481231422816,-0.030534930931380603,-0.0002011297740820428,0.0661830468051277,347,0
2023-11-01,0.09537077219804466,-0.001678438896130769,0.011192640015103145,0.040345821325648415,347,0
2023-12-01,0.10794675692273638,0.09997894489756103,0.024920279627412542,0.043161416409950644,348,0
2024-01-01,-0.025735014548793924,-0.061181165878175264,-0.0072113920725944,0.05172413793103448,348,0
2024-02-01,0.020268991672817805,-0.05252470694472239,-0.024726310677778307,0.034482758620689655,348,0
2024-03-01,0.039894174006492346,-0.038261124805721955,-0.013397507855675304,0.04597701149425287,348,0
2024-04-01,-0.07650795829650366,-0.10136209909052774,-0.015842538962967376,0.04597701149425287,348,0
2024-05-01,0.04237202762918628,-0.013338456245246775,-0.007377718837453001,0.040229885057471264,348,0
2024-06-01,-0.029706281392586197,-0.08054982471808955,-0.01578119560882849,0.048916824008744905,347,0
2024-07-01,0.08662307452745599,0.10453379693156886,0.041053765640602105,0.9159055964913754,343,2
2024-08-01,-0.03400230395076727,-0.16490822239806266,-0.028494648119858842,0.05530883449725405,344,0
2024-09-01,0.01782614806373635,-0.017885088213095268,-0.011471954139444402,0.03488372093023256,344,0
2024-10-01,-0.02354446365180029,-0.09193264196266586,-0.019898231426870902,0.0872093023255814,344,0
2024-11-01,0.09318555647116286,0.04601240509437838,0.005509890552107086,0.04366397721879449,343,0
2024-12-01,-0.055722670664848976,0.0553632703045211,0.024376560481363135,0.04963087992089066,342,0
2025-01-01,-0.014028907857523103,-0.18237985292275832,-0.03687874190246876,0.06432748538011696,342,0
2025-02-01,-0.0300934975990838,-0.09910852349824481,-0.04320864944808159,0.04678362573099415,342,0
2025-03-01,-0.06846136179707023,-0.07766411122922129,-0.02077896293538719,0.05847953216374269,342,0
2025-04-01,-0.046551515306230716,-0.11221088304505093,-0.03560753890978219,0.07017543859649122,342,0
2025-05-01,0.04397144659553338,0.0024152376363725026,0.007309244773660996,0.07017543859649122,342,0
2025-06-01,0.03278665394837004,-0.07431376539202543,-0.007161842113431363,0.03508771929824561,342,0
2025-07-01,-0.0015143078483751873,-0.04023510164697951,-0.019022324153505885,0.7096663226694186,340,0
2025-08-01,0.07823218596763865,0.13385522766216895,0.040675797175098075,0.058823529411764705,340,0
2025-09-01,-0.0033006803836172142,-0.12253993939198954,-0.03697172193474882,0.03828735033836543,339,0
2025-10-01,-0.0239649115536519,-0.07562227768950526,-0.0341548737644308,0.06794260878672043,338,0
2025-11-01,0.026454401942321952,0.009596191224364874,0.029628652381951653,0.04142011834319527,338,0
2025-12-01,0.016990100132276153,0.015260814020814287,0.004420681148309177,0.0650887573964497,338,0
